article,subpoint,criteria_text,keywords,quantitative_params
48,2,"гнойные и (или) полипозные синуситы, сопровождающиеся атрофическими или гипертрофическими процессами слизистой верхних дыхательных путей с нарушением носового дыхания; хронические гнойные и (или) полипозные синуситы без осложнений, протекающие с частыми обострениями",дыхательный,{}
48,2,"поллинозы с клиническими проявлениями ринита со стойким, выраженным нарушением носового дыхания в течение всего теплого времени года (весна-осень) при неэффективности повторного лечения в стационарных условиях в специализированном отделении организаций здравоохранения; аллергические риниты с сенсибилизацией к бытовым аллергенам с частыми обострениями (три и более раза в год), протекающие с выраженными клиническими проявлениями и нарушением трудоспособности при неэффективности повторного лечения в стационарных условиях в специализированном отделении организаций здравоохранения",,{}
48,2,"неудовлетворительные результаты оперативного лечения. Диагноз хронического гнойного заболевания околоносовых пазух подтверждается риноскопическими данными (гнойные выделения), рентгенотомографией и (или) рентгенографией околоносовых пазух с контрастированием в двух проекциях, а при верхнечелюстном синусите - лечебно-диагностической пункцией. При наличии медицинских показаний проводится КТ или МРТ или видеоскопическое исследование. Под частыми обострениями заболевания следует понимать обострения три раза в год и более. Под хроническим декомпенсированным тонзиллитом следует понимать форму хронического тонзиллита, характеризующегося частыми (не менее двух раз в год) обострениями, наличием тонзиллогенной интоксикации (субфебрилитет, быстрая утомляемость, вялость, недомогание), вовлечением в воспалительный процесс околоминдаликовой ткани, регионарных лимфоузлов (паратонзиллярный абсцесс, регионарный лимфаденит) и метатонзиллярными осложнениями. К объективным признакам относятся выделение гноя из лакун при надавливании шпателем или их зондировании, грубые рубцы на небных миндалинах, гиперемия и отечность небных дужек, и сращение их с миндалинами, наличие в подэпителиальном слое нагноившихся фолликулов, увеличение лимфатических узлов шеи. Только такая форма хронического тонзиллита является противопоказанием для поступления в ВУЗ.",,{}
48,3,"Граждане при приписке к призывным участкам с хроническими негнойными заболеваниями околоносовых пазух, указанными в данном подпункте направляются на лечение. Хронические синуситы подлежат оперативному лечению (радикальной или эндоскопической гайморотомии). При успешном оперативном лечении освидетельствуемые по графам I-II, признаются годными к воинской службе. Нарушение барофункции околоносовых пазух устанавливается на основании жалоб освидетельствуемого, состояния носовой полости, барабанной перепонки, испытания в барокамере на переносимость перепадов давления, с рентгенологическим исследованием околоносовых пазух до и после испытания, сведении о служебной деятельности и состоянии здоровья военнослужащего. Обследование призывников с поллинозами и аллергическими ринитами должно проводиться с обязательным привлечением врача-аллерголога. Искривление носовой перегородки, нестойкие субатрофические явления слизистой верхних дыхательных путей при свободном носовом дыхании, пристеночное утолщение слизистой верхнечелюстных пазух, если при диагностической пункции не получено гноя или транссудата и сохранена проходимость устья верхнечелюстной пазухи, а также остаточные явления после операции (по истечению двух и более месяцев) на верхнечелюстных пазухах (линейный рубец переходной складки преддверия рта, соустье оперированной пазухи с носовой полостью или вуаль на рентгенограмме), а также наличие кист верхнечелюстных пазух, занимающие менее 1/3 объема верхнечелюстных пазух, без нарушения их барофункций не являются основанием для применения данного пункта, не препятствуют прохождению воинской службы, поступлению в ВУЗ.","дыхательный, полость","{""count_less_than"": 1}"
49,1,"хронические болезни гортани, сопровождающиеся стенозом гортани II-III степени; доброкачественные новообразования гортани с нарушением функции дыхания и (или) голосообразования","гортань, стеноз, голос, дыхание","{""degree_min"": 2, ""degree_max"": 3}"
49,2,"хронические болезни гортани, сопровождающиеся стенозом гортани I степени; состояние после операций на гортани с дыхательной недостаточностью","гортань, стеноз, операция","{""degree"": 1}"
50,1,"хронические заболевания бронхолегочного аппарата и плевры, нагноительные заболевания легких, в том числе хронический бронхит, хроническая обструктивная болезнь легких, панацинарная (буллезная) эмфизема легких, бронхоэктатическая болезнь с дыхательной (легочной) недостаточностью III степени; саркоидоз с выраженными фиброзными изменениями в легких, а также генерализованная форма саркоидоза","бронхит, дыхательный, недостаточность, фиброз","{""degree"": 3}"
50,1,"альвеолярный протеиноз, легочный альвеолярный микролитиаз, идиопатический легочный фиброз вне зависимости от степени дыхательной недостаточности, подтвержденные результатами гистологического исследования.","дыхательный, недостаточность, фиброз",{}
50,2,"хронические заболевания бронхолегочного аппарата и плевры, нагноительные заболевания легких с дыхательной (легочной) недостаточностью II степени; бронхоэктатическая болезнь и заболевания легких, осложненные вторичными бронхоэктазами (независимо от степени дыхательной недостаточности), саркоидоз с изолированным поражением внутригрудных лимфоузлов и (или) легких, диссеминированные заболевания легких, подтвержденные результатами гистологического исследования у граждан, освидетельствуемых по графам I и II. Категория годности к воинской службе у граждан, освидетельствуемых по графе III, определяется в зависимости от степени дыхательной (легочной) недостаточности.","дыхательный, недостаточность","{""degree"": 2}"
50,3,"Граждане (военнослужащие), имеющие последствия перенесенного спонтанного пневмоторакса в форме ограниченного пневмофиброза, плевральных спаек, освидетельствуются в зависимости от степени ДН (легочной). При отказе освидетельствуемого от морфологической верификации диагноз устанавливается по совокупности клинических, инструментальных и лабораторных данных. Показатели степеней ДН (легочной) определены в приложении 4 к Требованию.",фиброз,{}
51,,"При наличии бронхиальной астмы, подтвержденной медицинскими документами о стационарном лечении и обращениях за медицинской помощью, заключение о категории годности к воинской службе граждан, освидетельствуемых по графе I и II (кроме военнослужащих срочной службы), выносится без стационарного обследования. При отсутствии документального подтверждения анамнеза заболевания, верифицирующими тестами диагноза бронхиальной астмы при стойкой ремиссии являются фармакологические и (или) физические бронхопровокационные тесты. Дополнительным критерием служит исследование в крови общего и (или) специфического иммуноглобулина Е. В случае, когда бронхоспастические синдромы (в том числе обтурационный, эндокринно-гуморальный, неврогенный, токсический) являются проявлениями или осложнением других заболеваний, категория годности к воинской службе определяется в зависимости от течения основного заболевания по соответствующим пунктам требовании по графам. При определении степени тяжести бронхиальной астмы у граждан (военнослужащих), получающих базисное лечение противовоспалительными лекарственными средствами, в обязательном порядке должны учитываться объем проводимой терапии и ответ на проводимое лечение.",эндокринный,{}
51,4,"К данному подпункту также относится бронхиальная астма в анамнезе, при отсутствии симптомов в течение 5 лет и более, при сохраняющейся измененной реактивности бронхов, подтвержденная провокационными ингаляционными тестами.",астма,{}
52,,"При остаточных явлениях после перенесенных острых заболеваний, обострения хронических заболеваний легких, а также после оперативных вмешательств на верхних дыхательных путях, в отношении военнослужащих выносится заключение о предоставлении освобождения.",дыхательный,{}
53,3,"При подсчете общего количества зубов, зубы мудрости не учитываются. Корни зубов при невозможности использовать их для протезирования считаются как отсутствующие зубы. Зубы, замещенные несъемными протезами, отсутствующими не считаются.",,{}
54,,"Диагноз пародонтита, пародонтоза устанавливается после исследования всей зубочелюстной системы с рентгенографией и выявлением сопутствующих заболеваний. При пародонтозе и пародонтите граждане при приписке к призывным участкам направляются на лечение.",,{}
54,2,"пародонтит с глубиной зубодесневого кармана от 3,5 до 5 миллиметров, при котором определяется смешанный неравномерный тип деструкции костной ткани альвеолярного отростка, достигающий в области отдельных зубов до 1/2 длины корня, подвижность зуба II степени; заболевания слизистой оболочки полости рта, не поддающиеся лечению. При наличии стоматитов, хейлитов, гингивитов, лейкоплакий, граждане при приписке к призывным участкам направляются на лечение.",полость,"{""degree"": 2}"
55,1,"дефекты верхней и (или) нижней челюстей, не замещенные трансплантантами после хирургического лечения; анкилозы височно-нижнечелюстных суставов, контрактуры и ложные суставы нижней челюсти при отсутствии эффекта от лечения (в том числе хирургического) или отказе от него. В зависимости от фактической способности исполнять обязанности воинской службы, мнения командования (руководства) и врача воинской части (учреждения), военнослужащие, освидетельствуемые по графе III, с приобретенными дефектами и деформациями челюстно-лицевой области после ортопедических методов лечения с удовлетворительными результатами освидетельствуются по подпунктам 2) и 3) настоящего пункта.",,{}
55,2,аномалии прикуса III степени с разобщением прикуса более 10 миллиметров без учета жевательной эффективности; аномалии прикуса II степени с разобщением прикуса от 5 до 10 миллиметров с жевательной эффективностью менее 60 процентов,зоб,"{""degree"": 3, ""count_more_than"": 10, ""count_less_than"": 60}"
55,2,"хронические заболевания челюстей, слюнных желез, языка, височно-челюстных суставов с частыми (три и более раза в год) обострениями; хронический остеомиелит челюстей с наличием секвестральных полостей и секвестров",,{}
55,2,"дефекты нижней челюсти, замещенные трансплантантами после хирургического лечения, у освидетельствуемых по графам I, II. Граждане с указанными заболеваниями при приписке к призывным участкам направляются на лечение. Военнослужащие после лечения освидетельствуются по пункту 61 Требований по графам. При отказе от оперативного лечения или неудовлетворительном результате операции освидетельствование проводится по подпунктам 1) или 2) настоящего пункта.",,{}
55,4,"Граждане при приписке к призывным участкам, призыве на срочную воинскую службу, поступлении на воинскую службу по контракту признаются временно не годными к воинской службе, если после оперативного лечения по поводу аномалий прикуса прошло менее шести месяцев. Наличие аномалии прикуса I степени (смещение зубных рядов до 5 миллиметров включительно), ношение ортодонтических аппаратов (пластинки, брекет-системы) для исправления прикуса, аномалии положения отдельных зубов, не является основанием для применения настоящего пункта, не препятствует прохождению воинской службы, поступлению в ВУЗ. Предназначение призывников, носящих ортодонтические аппараты, по воинским командам, осуществляется с учетом возможности их посещения стоматолога-ортодонта в период прохождения воинской службы.",,"{""degree"": 1}"
56,1,"приобретенные пищеводно-трахеальные или пищеводно-бронхиальные свищи; рубцовые сужения или нервно-мышечные заболевания пищевода со значительными клиническими проявлениями, в том числе осложнения ГЭРБ, требующие систематического бужирования, баллонной дилятации или хирургического лечения",,{}
56,1,"тяжелые формы хронических неспецифических язвенных колитов и энтеритов с резким нарушением функции пищеварения; отсутствие после резекции тонкой (не менее 1,5 метров) или толстой (не менее 30 сантиметров) кишки, сопровождающиеся нарушением пищеварения и нарушением питания (ИМТ менее 18,5)",колит,"{""depth_m"": 5, ""size_cm"": 30.0, ""size_cm_less_than"": 30.0, ""count_min"": 1, ""count_less_than"": 1}"
56,1,"выпадение прямой кишки 3 стадии; противоестественный задний проход, как завершающий этап хирургического лечения, кишечный свищи",,{}
56,1,недостаточность сфинктера заднего прохода III степени.,недостаточность,"{""degree"": 3}"
56,2,"ГЭРБ IV стадии (классификация по Savary-Miller); ГЭРБ III стадии с частыми рецидивами (2 и более раза в год) язвы пищевода, либо осложненная кровотечением с развитием постгеморрагической анемии или перфорацией пищевода, а также при длительно (более двух месяцев) не рубцующейся язве пищевода","анемия, кровотечение","{""count_min"": 2, ""frequency_per_year"": 2}"
56,2,"рецидив ГЭРБ II-III стадии, возникший после хирургического лечения; рубцовые сужения, стриктуры и нервно-мышечные заболевания пищевода при удовлетворительных результатах консервативного лечения",,{}
56,2,"энтериты с нарушением секреторной, кислотообразующей функций, частыми обострениями и нарушением питания (ИМТ менее 18,5), требующими повторной и длительной (более двух месяцев) госпитализации при безуспешном стационарном лечении; хронические рецидивирующие неспецифические язвенные колиты болезнь Крона в средней и легкой форме тяжести",колит,"{""count_less_than"": 18}"
56,2,"отсутствие после резекции тонкой кишки (не менее 1 метра) или толстой кишки (не менее 20 сантиметров), наложение желудочно-кишечного соустья с редкими проявлениями демпинг-синдрома; спаечный процесс в брюшной полости с нарушениями эвакуаторной функции, требующими повторного стационарного лечения (спаечный процесс подтверждается данными рентгенологического или эндоскопического исследования или при лапаротомии, лапароскопии)",полость,"{""depth_m"": 1, ""size_cm"": 20.0, ""size_cm_less_than"": 20.0, ""count_min"": 1, ""count_less_than"": 1}"
56,2,выпадение прямой кишки 2 стадии; недостаточность сфинктера заднего прохода I-II степени,недостаточность,"{""degree"": 2}"
56,2,хронический парапроктит со стойкими или часто (не менее 2 раз в год) открывающимися свищами.,,"{""count_min"": 2, ""count_less_than"": 2, ""frequency_per_year"": 2}"
56,3,ГЭРБ III стадии с редкими обострениями и без осложнений; ГЭРБ I-II стадии,,{}
56,3,"выпадение прямой кишки 1 стадии; хронический парапроктит, протекающий с редкими обострениями. При диагностировании болезней пищевода, кишечника, и брюшины (за исключением указанных в подпунктах 1), 2), 3) настоящего пункта) освидетельствование проводится по соответствующим подпунктам настоящего пункта в зависимости от нарушения функций. При выпадении прямой кишки, кишечных или каловых свищах, сужении заднего прохода или недостаточности сфинктера освидетельствуемым предлагается хирургическое лечение. После операции в отношении военнослужащих по пункту 61 Требований по графам предоставляется отпуск по болезни, а граждане при приписке к призывным участкам и призыве на срочную воинскую службу признаются временно негодными к воинской службе на шесть месяцев, если после операции прошло менее шести месяцев. Категория годности к воинской службе определяется в зависимости от результатов лечения. При рецидиве заболевания или отказе от лечения заключение выносится по подпунктам 1), 2) или 3) настоящего пункта.",недостаточность,{}
57,,"Диагноз язвы желудка или двенадцатиперстной кишки подтверждается эндоскопическим исследованием (с предоставлением фото или видеоматериалов) и (или) рентгенологическим исследованием в условиях искусственной гипотонии. При наличии язвы желудка или двенадцатиперстной кишки в анамнезе у граждан, освидетельствуемых по графе I требований, диагноз подтверждается выписками из медицинской карты амбулаторного, стационарного больного с подробным описанием эндоскопического и (или) рентгенологического исследования, которые подписывают соответствующие врачи-специалисты и начальник (заведующий) структурного подразделения медицинской (военно-медицинской) организации здравоохранения, и она заверяется печатью организации здравоохранения. В случае отсутствия документов для подтверждения диагноза освидетельствуемому проводится эндоскопическое (рентгенологическое) исследование. Достоверным признаком перенесенной язвы желудка или двенадцатиперстной кишки является наличие послеязвенной рубцовой деформации желудка или двенадцатиперстной кишки, выявленной при эндоскопическом исследовании и (или) рентгенологическом исследовании в условиях искусственной гипотонии. Рецидив (обострение) язвы желудка или двенадцатиперстной кишки - состояние, когда у пациента с установленным ранее диагнозом язвы желудка или двенадцатиперстной кишки на фоне клинических проявлений или без них диагностируется язвенный дефект (эрозии) той же или другой локализации. При неосложненных симптоматических язвах желудка и двенадцатиперстной кишки категория годности к воинской службе определяется в зависимости от тяжести и течения основного заболевания по соответствующим пунктам требовании по графам. При осложненных симптоматических язвах в отношении освидетельствуемых по графам I, II, III заключение о категории годности к воинской службе выносится по подпунктам 1), 2) или 3) пункта 58 Требований по графам в зависимости от нарушения функции пищеварения. Определяют следующие степени выраженности рубцово-язвенной деформации двенадцатиперстной кишки: незначительная - луковица обычных размеров, уплощена или деформирована одна стенка",язва,{}
57,,"умеренная - деформация двух стенок; грубая - луковица значительно уменьшена в размерах, неправильной формы. Задержку 1/3 бариевой взвеси в желудке более двух часов, определяемой при полноценно выполненной дуоденографии в условиях искусственной гипотонии, расценивают как умеренное нарушение эвакуаторной функции двенадцатиперстной кишки. При стенозе пилоробульбарной зоны бариевая взвесь в желудке задерживается более шести часов: компенсированная форма от 6 до 12 часов, субкомпенсированная - 12 - 24 часа, декомпенсированная более 24 часов.",,"{""count_more_than"": 24}"
57,1,"язвенная болезнь желудка и двенадцатиперстной кишки, осложненная пенетрацией или стенозом пилоробульбарной зоны, сопровождающаяся нарушением питания (ИМТ менее 18,5), при наличии противопоказаний к хирургическому лечению или отказе от него; язвенная болезнь, осложненная массивным повторным гастродуоденальным кровотечением с объемом кровопотери более двух литров (снижение объема циркулирующей крови до 30 процентов и более), в течение первого года после указанного осложнения",кровотечение,"{""count_less_than"": 18}"
57,1,"экстирпация желудка или его субтотальная резекция; последствия резекции желудка, стволовой или селективной ваготомии с наложением желудочно-кишечного соустья со значительным нарушением функции пищеварения (в том числене поддающийся лечению демпинг-синдром, упорные поносы, нарушение питания (ИМТ менее 18,5), стойкие анастомозиты, язвы анастомозов).",,"{""count_less_than"": 18}"
57,2,язвенная болезнь желудка или 12-перстной кишки с частыми (два и более раза в год) рецидивами язвы течение последних двух лет; язвенная болезнь с гигантскими (3 сантиметра и более в желудке или 2 сантиметра и более в двенадцатиперстной кишке) язвами,язва,"{""size_cm_max"": 3.0, ""size_cm_min"": 2.0, ""size_cm"": 3.0}"
57,2,каллезная язва желудка; язвенная болезнь с внелуковичной язвой,язва,{}
57,2,"язвенная болезнь с множественными (три и более) язвами 12-перстной кишки; язвенная болезнь с длительно не рубцующимися язвами (с локализацией в желудке - три месяца и более, с локализацией в двенадцатиперстной кишке - два месяца и более)",язва,{}
57,2,"язвенная болезнь, осложненная перфорацией или кровотечением, с развитием постгеморрагической анемии (в течение 5 лет после указанных осложнений) или компенсированным стенозом либо рубцовой деформацией луковицы двенадцатиперстной кишки с умеренным нарушением эвакуаторной функции; непрерывно рецидивирующая язвенная болезнь двенадцатиперстной кишки (рецидивы язвы в сроки до двух месяцев после ее заживления)","анемия, кровотечение",{}
57,2,"последствия стволовой или селективной ваготомии, резекции желудка, наложения желудочно-кишечного соустья при наличии симптомов умеренного нарушения функции пищеварения, кроме указанных в подпункте 1 настоящего пункта.",,{}
57,3,"язвенная болезнь желудка или двенадцатиперстной кишки при наличии незначительной деформации луковицы двенадцатиперстной кишки с редкими (раз в год и реже) обострениями, без нарушения функции пищеварения у освидетельствуемых по графе III; язвенная болезнь желудка или двенадцатиперстной кишки независимо от длительности (стойкости) ремиссии у освидетельствуемых по графам I, II требований.",,{}
58,1,цирроз печени; хронический гепатит с высокой степенью активности (по данным биопсии и (или) 10-кратного и более стойкого повышения активности трансаминаз) и (или) F3 - F4 стадий фиброза по шкале METAVIR (по результатам непрямой эластографии),"гепатит, фиброз, цирроз",{}
58,1,"хронический панкреатит с выраженными морфологическими изменениями (атрофия, кальцинаты, деформация протоков, кисты) и (или) нарушением внешнесекреторной функции поджелудочной железы сопровождающиеся с нарушением статуса питания (ИМТ менее 18,5) и (или) с нарушением толерантности к глюкозе; осложнения после операций на желчевыводящих путях","атрофия, панкреатит","{""count_less_than"": 18}"
58,1,осложнения после операций на поджелудочной железе.,,{}
58,2,"хронический гепатит с умеренной степенью активности (по данным биопсии и (или) 5-10-кратного стойкого повышения активности трансаминаз) и (или) F2 стадией фиброза по шкале METAVIR; гастриты, гастродуодениты с нарушением секреторной, кислотообразующей функций, частыми обострениями и нарушением питания (ИМТ менее 18,5), требующие повторной и длительной госпитализации (более двух месяцев) при безуспешном стационарном лечении","гастрит, гепатит, фиброз","{""count_less_than"": 18}"
58,2,"хронический холецистит с частыми (три и более раза в год) обострениями, требующими лечения в стационарных условиях; хронический панкреатит с частыми (три и более раза в год) обострениями и (или) с выраженными морфологическими изменениями (атрофия, кальцинаты, деформация протоков, кисты) с нарушением секреторной или инкреторной функции поджелудочной железы без нарушения статуса питания","атрофия, панкреатит, холецистит",{}
58,2,последствия хирургического лечения панкреатитов с исходом в псевдокисту; последствия реконструктивных операций по поводу заболеваний поджелудочной железы и желчевыводящих путей. После резекции доли печени или части поджелудочной железы освидетельствование проводится по подпункту 2 или 3 настоящего пункта в зависимости от нарушения функций.,панкреатит,{}
58,3,"хронические гепатиты с слабовыраженной степенью активности (по данным биопсии и (или) до 5-кратного стойкого повышения активности трансаминаз) и (или) фиброзом F1 стадии по шкале METAVIR; хронические гастриты, гастродуодениты с незначительным нарушением секреторной функции и частыми (три и более раза в год) обострениями","гастрит, гепатит, фиброз",{}
58,3,"хронические холециститы с незначительным нарушением функции и (или) частыми (три и более раза в год) обострениями не требующие стационарного лечения; хронический панкреатит без нарушения внешнесекреторной функции поджелудочной железы с хорошими результатами лечения. После удаления желчного пузыря или хирургического лечения болезней желчных протоков с хорошим исходом освидетельствование по графам I, II, IV проводится по подпункту 3), а по графе III по подпункту 4) настоящего пункта. При стеатозе (жировая дегенерация печени) освидетельствование проводится по соответствующим подпунктам настоящего пункта в зависимости от нарушения функций печени.","панкреатит, холецистит",{}
58,4,"хронические гастриты, гастродуодениты без нарушения функций пищеварения и с редкими (не более двух раз в год) обострениями; хронические холециститы без нарушения функции","гастрит, холецистит",{}
58,4,"дискинезии желчевыводящих путей без нарушения функции; ферментопатические (доброкачественные) гипербилирубинемии. При хроническом гепатите без нарушения функции печени и (или) с его минимальной активностью освидетельствование проводится по подпункту 3), настоящего пункта. Диагноз хронического гепатита подтверждается обследованием в условиях специализированного отделения и результатами пункционной биопсии, а при невозможности проведения биопсии или отказе от нее - клиническими, лабораторными, инструментальными данными, свидетельствующими о стабильности поражении печени, и результатами диспансерного наблюдения в течение не менее 1 года. Варианты форм, размеров, положения желчного пузыря, желчевыводящих путей и поджелудочной железы, а также признаки хронических заболеваний, выявленные только при инструментальных исследованиях, без клинических проявлений и функциональных нарушений не являются основанием для применения данного пункта.","гепатит, доброкачественный","{""count_min"": 1, ""count_less_than"": 1}"
